Device,Experiment,Replicate,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Ageofdeath,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Age at Death-Associated Posture Relaxation Start (d),Age at Death-Associated Posture Relaxation End (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type,Special Flag
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.767,5.375,0.0416667,19.392,20.8504,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,20.392,4.58333,0,19.767,22.0587,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,20.517,6.875,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.0587,6.66667,0.0416667,20.642,23.0587,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.0587,6.66667,0.0416667,,,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.267,7.625,0.0416667,22.8504,26.3087,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.392,6.29167,0.0416667,,,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.517,7.45833,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,21.9337,7.54167,0.0416667,,,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.017,5.70833,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.3504,7.91667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.7254,8.33333,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.7254,9.04167,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.892,8.5,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,22.9337,8.54167,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.3087,7.54167,0,23.1837,24.1004,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.4337,9.04167,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.4754,11.4167,0.0416667,,,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.517,9.125,0,23.4337,25.2254,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.6837,6.625,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,23.767,8.83333,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.0587,8.625,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.0587,9.41667,0,23.8087,27.6837,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.267,9.875,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.3087,10.0417,0,24.3087,25.767,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.7254,9,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,24.767,9.75,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,25.017,10.625,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,25.3504,7.41667,0,26.4754,28.2254,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,25.5795,11.1875,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,26.017,1.875,0,26.642,27.517,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,27.017,12.5833,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,27.2879,12.8542,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,11.3295,0.708333,0,12.4545,13.2462,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,11.7045,2.125,0,10.9962,11.6629,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,14.4129,2.66667,0,38.9545,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,17.4962,2.91667,0,38.9545,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,18.6212,4.75,0,19.0379,20.7879,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,20.8295,3.79167,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,21.7045,5.20833,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,23.5379,7.04167,0,35.7045,36.3712,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,23.6629,5.08333,0,23.2879,24.8712,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,26.4129,1.70833,0,38.9962,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,28.1629,7.33333,0,28.2462,28.5795,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,28.4129,2.91667,0,38.9962,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,28.5795,10.4167,0,38.9545,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,28.6212,9,0,28.7045,29.7462,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,29.7879,9.41667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,31.5379,14.9583,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,32.4129,12.5417,0,38.9962,39.3295,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_d::0,PX632::mated::skew::30::20::OP50-1,d::0,0,d,6.02969,1.15312,1.82187,1.9125,PX632,,mated,skew,30,20,20,OP50-1,,,,,1,37.1629,8.04167,0,38.9545,39.4962,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,11.2774,3.83333,0,15.1524,15.7358,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,12.0274,0.375,0,21.5274,22.3191,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,13.2358,1.5,0,13.4858,14.5274,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,14.5274,1.29167,0,14.6524,16.1524,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,14.6941,1.125,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,14.9441,1.83333,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,20.9858,9.41667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,24.5274,6.5,0,24.4858,25.6941,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,25.4024,10.4583,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,26.6941,5.29167,0,28.0691,30.1108,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,28.6941,2.91667,0,29.3608,31.3191,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,29.0274,7.20833,0.208333,,,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,31.6524,1.91667,0.0416667,32.0274,33.8191,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,33.1524,21.5417,0.208333,35.8608,36.4441,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::1,PX632::virgin::null::25::20::OP50-1,c::1,1,c,4.06719,3.27969,1.79688,1.85938,PX632,,virgin,null,25,20,20,OP50-1,,,,,1,37.4441,2.25,0.0416667,37.4024,38.2774,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::1,JK574::virgin::null::59::20::OP50-1,b::1,1,b,2.10781,3.4375,1.81563,1.88125,JK574,,virgin,null,59,20,20,OP50-1,,,,,1,12.017,4.375,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::1,JK574::virgin::null::59::20::OP50-1,b::1,1,b,2.10781,3.4375,1.81563,1.88125,JK574,,virgin,null,59,20,20,OP50-1,,,,,1,12.017,4.64583,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::1,JK574::virgin::null::59::20::OP50-1,b::1,1,b,2.10781,3.4375,1.81563,1.88125,JK574,,virgin,null,59,20,20,OP50-1,,,,,1,12.1837,1.91667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::1,JK574::virgin::null::59::20::OP50-1,b::1,1,b,2.10781,3.4375,1.81563,1.88125,JK574,,virgin,null,59,20,20,OP50-1,,,,,1,12.267,1.70833,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
