Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,27.6536,6.91667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,28.362,5.08333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,30.0286,4.375,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,30.112,2.04167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,32.0703,3.58333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,32.0703,7.41667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,32.8203,4.04167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,32.9036,4.95833,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,34.4036,8.79167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,43.6953,9.625,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,11.1328,0.791667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,13.2995,2.33333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,13.4245,0.625,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,15.5495,1.29167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,16.4661,2.79167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,17.2161,1.25,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,17.7995,2.75,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,17.9661,7.83333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,18.0495,0.208333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,18.8828,0.208333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,19.1328,1.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,20.0911,0.791667,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,20.3828,1.33333,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,21.2995,1.5,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,23.3828,3.33333,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,23.7161,5.875,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,25.1328,3.54167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,25.1745,6.125,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,26.8411,9,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,27.0911,3.125,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,27.9245,6.625,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,28.1328,1.75,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,28.3828,6.75,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,29.0911,7.29167,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,29.7161,2.66667,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,30.0703,12.3125,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,32.1328,14.375,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,32.1745,0.104167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,32.9245,0.854167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_c::1,JU2526::Rep(2)::Total(49)::20::OP50-1,c::1,1,c,4.95469,3.20469,1.80937,1.86563,JU2526,,,2,49,20,20,OP50-1,,,,,1,37.5911,5.52083,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,12.4423,0.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,13.6923,0.458333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,13.734,1.04167,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,13.9006,1.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,14.5256,0.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,14.7756,1.625,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,14.8173,1.33333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,15.1506,0.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,15.3173,1.83333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,16.0673,1.83333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,16.984,3,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,17.1923,2.79167,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,17.1923,1.29167,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,18.109,3.70833,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,18.484,1.79167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,19.1506,1.5,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,19.4423,2.04167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,20.5673,6.79167,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,20.734,8.54167,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,21.1506,3.375,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,21.9006,5,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,22.1506,10.125,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,23.9006,3.41667,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,24.3173,1.83333,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,25.0673,2.45833,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,26.3173,3.5,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,26.5673,4.33333,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,27.5256,2.58333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Sirius,CENDR_012119_2,Sirius_d::3,JU2526::Rep(1)::Total(48)::20::OP50-1,d::3,3,d,5.93594,7.90781,1.82813,1.85938,JU2526,,,1,48,20,20,OP50-1,,,,,1,28.7756,1.25,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
